id,date,vaccines,confirmed,tests,recovered,deaths,population,confirmed_per,deaths_per,ratio,tests_per,vaccines_per,new_cases,new_cases_per
Germany,2021-09-25,107212262.0,4199480.0,,4104566.0,94666.0,82905782.0,5065.364439840879,114.18503959108666,2.2542314762780156,,1.2931819640757987,6355.0,7.665327853731469
Germany,2021-09-26,107268985.0,4202121.0,74417745.0,4107183.0,94690.0,82905782.0,5068.549983642878,114.21398811484583,2.2533858496697263,89761.82746819757,1.2938661503729618,2641.0,3.1855438019993016
Germany,2021-09-27,107421027.0,4207881.0,,4112881.0,94752.0,82905782.0,5075.49762934508,114.2887718012237,2.251774705605981,,1.2957000634768754,5760.0,6.947645702201953
Germany,2021-09-28,107644947.0,4220528.0,,4125462.0,94818.0,82905782.0,5090.7522951776755,114.36838024156144,2.2465909478624475,,1.2984009607436064,12647.0,15.254665832595492
Germany,2021-09-29,107897078.0,4231904.0,,4136757.0,94899.0,82905782.0,5104.473895439524,114.46608150924865,2.242465802626903,,1.3014421358452417,11376.0,13.721600261848835
Germany,2021-09-30,108141787.0,4241402.0,,4146194.0,94960.0,82905782.0,5115.930273717218,114.53965900713656,2.238882331832729,,1.3043937876371519,9498.0,11.456378277694057
Germany,2021-10-01,108269448.0,4249786.0,,4154515.0,95022.0,82905782.0,5126.042958017089,114.61444269351443,2.2359243500731565,,1.3059336199253269,8384.0,10.112684299871034
Germany,2021-10-02,108301701.0,4255937.0,,4160618.0,95070.0,82905782.0,5133.462223418868,114.67233974103277,2.233820660409212,,1.3063226518989954,6151.0,7.41926540177883
Germany,2021-10-03,108315593.0,4258588.0,75387553.0,4163244.0,95095.0,82905782.0,5136.659829105767,114.70249445328191,2.233017140892709,90931.59871527416,1.3064902156040215,2651.0,3.1976056868988962
Germany,2021-10-04,108411288.0,4264251.0,,4168851.0,95150.0,82905782.0,5143.490474524443,114.76883482023003,2.23134144777125,,1.307644477679494,5663.0,6.830645418675886
Germany,2021-10-05,108593898.0,4276467.0,,4180977.0,95240.0,82905782.0,5158.225273117863,114.87739178432693,2.2270720199641434,,1.3098470984810202,12216.0,14.734798593420237
Germany,2021-10-06,108798440.0,4287573.0,,4191989.0,95334.0,82905782.0,5171.621202487421,114.9907735023837,2.2234956699279524,,1.3123142605421658,11106.0,13.395929369557962
Germany,2021-10-07,109010210.0,4297702.0,,4202039.0,95413.0,82905782.0,5183.838685702283,115.08606239309098,2.220093435980438,,1.314868605907366,10129.0,12.217483214862114
Germany,2021-10-08,109193069.0,4306914.0,,4211180.0,95483.0,82905782.0,5194.950094071846,115.17049558738859,2.2169702018661157,,1.3170742301182323,9212.0,11.111408369562923
Germany,2021-10-09,109234284.0,4313934.0,,4218153.0,95530.0,82905782.0,5203.417537271405,115.22718644641697,2.2144520523494333,,1.3175713607043715,7020.0,8.467443199559057
Germany,2021-10-10,109251610.0,4316570.0,76351157.0,4220752.0,95567.0,82905782.0,5206.597050130955,115.27181542054569,2.213956914865275,92093.88676895901,1.317780344922143,2636.0,3.1795128595495044
Germany,2021-10-11,109347641.0,4322812.0,,4226916.0,95645.0,82905782.0,5214.12607868532,115.36589812276301,2.2125644140897176,,1.318938659790942,6242.0,7.529028554365141
Germany,2021-10-12,109527314.0,4335448.0,,4239455.0,95742.0,82905782.0,5229.367476444526,115.48289840628968,2.2083530929214237,,1.321105854836518,12636.0,15.241397759205938
Germany,2021-10-13,109733618.0,4347512.0,,4251432.0,95829.0,82905782.0,5243.918934387471,115.58783680491669,2.204226233303094,,1.3235942699388565,12064.0,14.55145794294549
Germany,2021-10-14,109942075.0,4358846.0,,4262676.0,95918.0,82905782.0,5257.589874732742,115.69518758052364,2.2005365640355268,,1.3261086542793843,11334.0,13.670940345270537
Germany,2021-10-15,110113743.0,4369992.0,,4273721.0,96019.0,82905782.0,5271.034051641899,115.81701261801017,2.197235143679897,,1.3281792939363384,11146.0,13.44417690915725
Germany,2021-10-16,110155654.0,4378484.0,,4282159.0,96073.0,82905782.0,5281.277004298687,115.8821467964683,2.1942069446867913,,1.328684819594368,8492.0,10.242952656787566
Germany,2021-10-17,110172470.0,4381896.0,77214837.0,4285528.0,96116.0,82905782.0,5285.392519426449,115.93401290153683,2.19347971745564,93135.64764397252,1.3288876522508406,3412.0,4.115515127762592
Germany,2021-10-18,110265100.0,4390025.0,,4293521.0,96251.0,82905782.0,5295.197625661381,116.0968483476822,2.192493209036395,,1.3300049446490958,8129.0,9.805106234931372
Germany,2021-10-19,110443136.0,4409172.0,,4312492.0,96427.0,82905782.0,5318.292516678753,116.30913752191614,2.186963901612366,,1.332152394389091,19147.0,23.094891017371992
Germany,2021-10-20,110647867.0,4427152.0,,4330321.0,96577.0,82905782.0,5339.979785728335,116.49006579541098,2.1814701641145366,,1.3346218361464826,17980.0,21.687269049582028
Germany,2021-10-21,110854469.0,4444436.0,,4347421.0,96761.0,82905782.0,5360.8275475889,116.71200447756466,2.1771266365406095,,1.3371138456905214,17284.0,20.847761860565697
Germany,2021-10-22,111015104.0,4461107.0,,4363927.0,96926.0,82905782.0,5380.935915905117,116.911025578409,2.1726894243962316,,1.3390514065713777,16671.0,20.10836831621691
Germany,2021-10-23,111059538.0,4474407.0,,4377094.0,97059.0,82905782.0,5396.97822282166,117.07144864757443,2.169203650897203,,1.339587364365009,13300.0,16.042306916542657
Germany,2021-10-24,111074347.0,4479582.0,78126139.0,4382215.0,97113.0,82905782.0,5403.220248257233,117.13658282603257,2.1679031659650385,94234.84962725519,1.3397659888184879,5175.0,6.242025435572941
Germany,2021-10-25,111182541.0,4491444.0,,4393922.0,97268.0,82905782.0,5417.528056125205,117.32354204197725,2.165628693132988,,1.3410710123933214,11862.0,14.30780786797186
Germany,2021-10-26,111392044.0,4517815.0,,4420096.0,97465.0,82905782.0,5449.3364527940885,117.56116117450047,2.1573481871214293,,1.3435980134654542,26371.0,31.808396668883688
Germany,2021-10-27,111634982.0,4545130.0,,4447198.0,97676.0,82905782.0,5482.2834913975,117.81566694588322,2.149025440416446,,1.3465283036592068,27315.0,32.947038603411784
Germany,2021-10-28,111883782.0,4569472.0,,4471322.0,97894.0,82905782.0,5511.6445316202435,118.07861603669573,2.142348175018908,,1.3495293006222413,24342.0,29.361040222743213
Germany,2021-10-29,112090765.0,4592055.0,,4493714.0,98085.0,82905782.0,5538.883886289137,118.30899803827916,2.135971803473608,,1.3520259057444268,22583.0,27.23935466889361
Germany,2021-10-30,112143914.0,4609148.0,,4510668.0,98223.0,82905782.0,5559.50126614812,118.47545204989441,2.131044609546059,,1.3526669828649587,17093.0,20.61737985898253
