TestGesamt,FZHosp,FZICU,FZHospFree,FZICUFree,BundeslandID,Time
10219,6,5,256,25,8,2020-04-27
51804,118,23,3637,349,9,2020-04-27
232537,439,140,16663,1073,10,2020-04-27
5302,8,3,457,14,1,2020-04-28
9471,5,6,728,86,2,2020-04-28
28534,75,35,3540,135,3,2020-04-28
37146,46,14,3535,90,4,2020-04-28
19348,65,10,1462,131,5,2020-04-28
26908,64,10,2349,137,6,2020-04-28
49393,40,32,294,98,7,2020-04-28
10362,6,5,256,24,8,2020-04-28
53114,116,21,3443,340,9,2020-04-28
239578,425,136,16064,1055,10,2020-04-28
5971,6,2,435,14,1,2020-04-29
9648,5,5,725,82,2,2020-04-29
29741,68,36,3056,134,3,2020-04-29
38144,39,12,3413,92,4,2020-04-29
20210,63,10,1464,131,5,2020-04-29
27813,57,12,2301,133,6,2020-04-29
50269,34,28,317,91,7,2020-04-29
10811,4,5,258,24,8,2020-04-29
55147,110,21,3289,317,9,2020-04-29
247754,386,131,15258,1018,10,2020-04-29
6619,7,2,432,15,1,2020-04-30
9904,3,5,730,89,2,2020-04-30
31034,66,36,2952,134,3,2020-04-30
39188,33,12,3499,94,4,2020-04-30
21585,64,9,1463,132,5,2020-04-30
28844,57,10,2240,124,6,2020-04-30
51310,32,28,315,97,7,2020-04-30
11165,2,5,260,23,8,2020-04-30
56750,108,21,3190,304,9,2020-04-30
256399,372,128,15081,1012,10,2020-04-30
6959,6,2,463,12,1,2020-05-01
10152,3,5,727,87,2,2020-05-01
31930,62,37,2950,133,3,2020-05-01
40001,34,10,3884,87,4,2020-05-01
22422,62,7,1465,134,5,2020-05-01
29979,51,10,2215,126,6,2020-05-01
52504,25,27,321,79,7,2020-05-01
11719,3,4,260,19,8,2020-05-01
58413,102,22,3918,331,9,2020-05-01
264079,348,124,16203,1008,10,2020-05-01
7426,6,2,475,12,1,2020-05-02
10302,3,4,725,81,2,2020-05-02
32438,55,35,2990,135,3,2020-05-02
40747,34,8,4094,103,4,2020-05-02
23075,45,7,1482,134,5,2020-05-02
30866,43,9,2450,131,6,2020-05-02
52934,24,24,253,83,7,2020-05-02
