Time,Bundesland,BundeslandID,AnzEinwohner,AnzahlFaelle,AnzahlFaelleSum,AnzahlFaelle7Tage,SiebenTageInzidenzFaelle,AnzahlTotTaeglich,AnzahlTotSum,AnzahlGeheiltTaeglich,AnzahlGeheiltSum
2020-11-03,Vorarlberg,8,397139,433,6953,2319,583.9265,2,44,229,4229
2020-11-03,Wien,9,1911191,928,36150,6583,344.4449,8,392,403,21168
2020-11-03,Österreich,10,8901064,6352,127991,36029,404.7718,53,1383,2589,74344
2020-11-04,Burgenland,1,294436,194,3480,1243,422.1631,0,33,75,1722
2020-11-04,Kärnten,2,561293,538,4082,1743,310.533,2,41,133,1904
2020-11-04,Niederösterreich,3,1684287,939,19875,5614,333.3161,8,233,465,11902
2020-11-04,Oberösterreich,4,1490279,1538,24262,8616,578.1468,13,179,577,12669
2020-11-04,Salzburg,5,558410,487,8781,2673,478.6805,2,61,264,5419
2020-11-04,Steiermark,6,1246395,802,12704,4588,368.1016,12,285,283,6187
2020-11-04,Tirol,7,757634,829,17031,4621,609.9251,7,159,414,11355
2020-11-04,Vorarlberg,8,397139,505,7458,2655,668.5317,3,47,212,4441
2020-11-04,Wien,9,1911191,1275,37425,6919,362.0256,8,400,466,21634
2020-11-04,Österreich,10,8901064,7107,135098,38672,434.4649,55,1438,2889,77233
2020-11-05,Burgenland,1,294436,196,3676,1295,439.8239,1,34,108,1830
2020-11-05,Kärnten,2,561293,309,4391,1850,329.5961,5,46,95,1999
2020-11-05,Niederösterreich,3,1684287,955,20830,5794,344.0031,12,245,417,12319
2020-11-05,Oberösterreich,4,1490279,1668,25930,9101,610.691,10,189,632,13301
2020-11-05,Salzburg,5,558410,702,9483,2966,531.1509,5,66,255,5674
2020-11-05,Steiermark,6,1246395,1097,13801,4997,400.9162,12,297,387,6574
2020-11-05,Tirol,7,757634,773,17804,4833,637.907,7,166,510,11865
2020-11-05,Vorarlberg,8,397139,381,7839,2696,678.8555,0,47,256,4697
2020-11-05,Wien,9,1911191,872,38297,7050,368.8799,7,407,291,21925
2020-11-05,Österreich,10,8901064,6953,142051,40582,455.923,59,1497,2951,80184
2020-11-06,Burgenland,1,294436,180,3856,1333,452.7299,1,35,119,1949
2020-11-06,Kärnten,2,561293,383,4774,2018,359.527,3,49,178,2177
2020-11-06,Niederösterreich,3,1684287,1134,21964,6133,364.1303,9,254,609,12928
2020-11-06,Oberösterreich,4,1490279,2256,28186,10221,685.8447,7,196,966,14267
2020-11-06,Salzburg,5,558410,650,10133,3291,589.3519,0,66,265,5939
2020-11-06,Steiermark,6,1246395,1013,14814,5302,425.3868,9,306,435,7009
2020-11-06,Tirol,7,757634,1001,18805,5103,673.5442,4,170,473,12338
2020-11-06,Vorarlberg,8,397139,483,8322,2758,694.4672,5,52,302,4999
2020-11-06,Wien,9,1911191,1006,39303,6813,356.4793,5,412,673,22598
2020-11-06,Österreich,10,8901064,8106,150157,42972,482.7737,43,1540,4020,84204
2020-11-07,Burgenland,1,294436,249,4105,1365,463.5982,2,37,100,2049
